iter	Passed	Remaining
571	8741	6540
572	8752	6522
573	8763	6503
574	8774	6485
575	8787	6468
576	8798	6450
577	8810	6432
578	8821	6414
579	8833	6396
580	8844	6378
581	8855	6360
582	8867	6342
583	8881	6326
584	8897	6311
585	8912	6296
586	8923	6278
587	8936	6261
588	8948	6243
589	8961	6227
590	8972	6209
591	8985	6192
592	8999	6176
593	9012	6159
594	9027	6144
595	9040	6127
596	9053	6111
597	9066	6094
598	9080	6078
599	9094	6063
600	9109	6047
601	9123	6032
602	9140	6017
603	9154	6001
604	9168	5986
605	9182	5970
606	9197	5955
607	9212	5939
608	9228	5924
609	9242	5909
610	9258	5894
611	9274	5879
612	9289	5864
613	9303	5848
614	9318	5833
615	9332	5817
616	9347	5802
617	9363	5787
618	9375	5770
619	9388	5754
620	9401	5737
621	9416	5722
622	9429	5706
623	9441	5689
624	9454	5672
625	9465	5655
626	9478	5638
627	9490	5621
628	9502	5604
629	9514	5587
630	9525	5570
631	9536	5552
632	9547	5535
633	9559	5518
634	9570	5501
635	9581	5483
636	9592	5466
637	9606	5450
638	9619	5434
639	9630	5417
640	9642	5400
641	9654	5383
642	9665	5366
643	9677	5349
644	9689	5333
645	9702	5316
646	9716	5301
647	9728	5284
648	9741	5268
649	9754	5252
650	9767	5236
651	9780	5220
652	9792	5203
653	9805	5187
654	9818	5171
655	9830	5154
656	9843	5139
657	9858	5124
658	9871	5107
659	9884	5092
660	9897	5076
661	9912	5060
662	9925	5045
663	9938	5028
664	9951	5012
665	9964	4997
666	9977	4981
667	9990	4965
668	10003	4949
669	10016	4933
670	10031	4918
671	10045	4903
672	10060	4888
673	10073	4872
674	10088	4857
675	10102	4841
676	10114	4825
677	10127	4809
678	10139	4793
679	10153	4778
680	10167	4762
681	10178	4745
682	10191	4730
683	10204	4714
684	10218	4699
685	10234	4684
686	10249	4669
687	10261	4653
688	10274	4637
689	10287	4621
690	10299	4605
691	10311	4589
692	10323	4573
693	10334	4556
694	10346	4540
695	10359	4524
696	10372	4508
697	10384	4492
698	10396	4476
699	10408	4460
700	10421	4444
701	10432	4428
702	10446	4413
703	10458	4397
704	10470	4381
705	10482	4365
706	10493	4348
707	10504	4332
708	10515	4316
709	10527	4300
710	10539	4283
711	10551	4267
712	10562	4251
713	10574	4235
714	10588	4220
715	10601	4204
716	10613	4189
717	10629	4175
718	10642	4159
719	10656	4144
720	10668	4128
721	10682	4113
722	10694	4097
723	10709	4082
724	10724	4067
725	10740	4053
726	10753	4038
727	10766	4022
728	10778	4006
729	10793	3992
730	10807	3976
731	10820	3961
732	10836	3947
733	10848	3931
734	10862	3916
735	10875	3901
736	10889	3885
737	10902	3870
738	10914	3854
739	10927	3839
740	10942	3824
741	10956	3809
742	10970	3794
743	10981	3778
744	10994	3763
745	11008	3748
746	11021	3732
747	11035	3717
748	11048	3702
749	11060	3686
750	11073	3671
751	11086	3656
752	11098	3640
753	11110	3624
754	11122	3609
755	11135	3593
756	11146	3578
757	11157	3562
758	11170	3546
759	11182	3531
760	11194	3515
761	11205	3499
762	11217	3484
763	11231	3469
764	11244	3454
765	11256	3438
766	11267	3422
767	11279	3407
768	11292	3392
769	11303	3376
770	11315	3360
771	11327	3345
772	11350	3333
773	11369	3319
774	11430	3318
775	11496	3318
776	11538	3311
777	11609	3312
778	11653	3306
779	11697	3299
780	11728	3288
781	11752	3276
782	11769	3261
783	11782	3246
784	11796	3230
785	11807	3214
786	11819	3198
787	11831	3183
788	11843	3167
789	11854	3151
790	11867	3135
791	11879	3119
792	11891	3104
793	11903	3088
794	11914	3072
795	11926	3056
796	11937	3040
797	11950	3024
798	11961	3009
799	11973	2993
800	11984	2977
801	11996	2961
802	12008	2946
803	12020	2930
804	12031	2914
805	12042	2898
806	12054	2882
807	12065	2867
808	12077	2851
809	12089	2835
810	12100	2820
811	12111	2804
812	12123	2788
813	12136	2773
814	12148	2757
815	12162	2742
816	12174	2727
817	12188	2711
818	12204	2697
819	12218	2682
820	12233	2667
821	12246	2651
822	12259	2636
823	12277	2622
824	12295	2608
825	12314	2594
826	12339	2581
827	12369	2569
828	12397	2557
829	12426	2545
830	12454	2532
831	12481	2520
832	12507	2507
833	12533	2494
834	12556	2481
835	12581	2468
836	12606	2455
837	12630	2441
838	12650	2427
839	12667	2412
840	12682	2397
841	12697	2382
842	12711	2367
843	12722	2351
844	12737	2336
845	12749	2320
846	12760	2305
847	12772	2289
848	12783	2273
849	12796	2258
850	12809	2242
851	12821	2227
852	12832	2211
853	12844	2195
854	12856	2180
855	12867	2164
856	12878	2148
857	12890	2133
858	12903	2118
859	12917	2102
860	12928	2087
861	12941	2071
862	12952	2056
863	12964	2040
864	12976	2025
865	12988	2009
866	13001	1994
867	13015	1979
868	13028	1963
869	13039	1948
870	13050	1932
871	13062	1917
872	13073	1901
873	13086	1886
874	13098	1871
875	13112	1856
876	13126	1840
877	13138	1825
878	13151	1810
879	13165	1795
880	13180	1780
881	13194	1765
882	13208	1750
883	13223	1735
884	13237	1720
885	13249	1704
886	13262	1689
887	13275	1674
888	13288	1659
889	13301	1643
890	13315	1628
891	13328	1613
892	13341	1598
893	13353	1583
894	13367	1568
895	13380	1553
896	13393	1537
897	13407	1522
898	13424	1508
899	13438	1493
900	13451	1478
901	13464	1462
902	13477	1447
903	13489	1432
904	13502	1417
905	13515	1402
906	13529	1387
907	13542	1372
908	13553	1356
909	13564	1341
910	13575	1326
911	13586	1310
912	13597	1295
913	13608	1280
914	13620	1265
915	13631	1250
916	13641	1234
917	13652	1219
918	13663	1204
919	13673	1189
920	13685	1173
921	13696	1158
922	13707	1143
923	13718	1128
924	13730	1113
925	13742	1098
926	13753	1083
927	13764	1067
928	13775	1052
929	13786	1037
930	13798	1022
931	13808	1007
932	13819	992
933	13832	977
934	13843	962
935	13853	947
936	13864	932
937	13875	917
938	13886	902
939	13898	887
940	13909	872
941	13922	857
942	13934	842
943	13946	827
944	13956	812
945	13968	797
946	13979	782
947	13990	767
948	14001	752
949	14013	737
950	14026	722
951	14037	707
952	14048	692
953	14059	677
954	14071	663
955	14082	648
956	14093	633
957	14105	618
958	14116	603
959	14127	588
960	14139	573
961	14150	558
962	14161	544
963	14171	529
964	14182	514
965	14193	499
966	14204	484
967	14216	469
968	14227	455
969	14238	440
970	14250	425
971	14261	410
972	14272	396
973	14284	381
974	14295	366
975	14306	351
976	14319	337
977	14332	322
978	14345	307
979	14357	293
980	14370	278
981	14383	263
982	14396	248
983	14407	234
984	14418	219
985	14430	204
986	14441	190
987	14452	175
988	14464	160
989	14475	146
990	14485	131
991	14497	116
992	14507	102
993	14519	87
994	14530	73
995	14543	58
996	14555	43
997	14567	29
998	14578	14
999	14590	0
